Date,Forward,Contract,Route,Price
2/9/2024,M0,M_Feb_2024,BPI5TC,13100
2/9/2024,M1,M_Mar_2024,BPI5TC,15600
2/9/2024,M2,M_Apr_2024,BPI5TC,16575
2/9/2024,M3,M_May_2024,BPI5TC,16675
2/9/2024,Q0,Q_1_2024,BPI5TC,13500
2/9/2024,Q1,Q_2_2024,BPI5TC,16525
2/9/2024,Q2,Q_3_2024,BPI5TC,15425
2/9/2024,Q3,Q_4_2024,BPI5TC,15011
2/9/2024,Y0,Y_2024,BPI5TC,14275
2/9/2024,Y1,Y_2025,BPI5TC,13300
2/9/2024,Y2,Y_2026,BPI5TC,12236
2/9/2024,Y3,Y_2027,BPI5TC,12057
2/12/2024,M0,M_Feb_2024,BPI5TC,13200
2/12/2024,M1,M_Mar_2024,BPI5TC,15625
2/12/2024,M2,M_Apr_2024,BPI5TC,16575
2/12/2024,M3,M_May_2024,BPI5TC,16625
2/12/2024,Q0,Q_1_2024,BPI5TC,13500
2/12/2024,Q1,Q_2_2024,BPI5TC,16475
2/12/2024,Q2,Q_3_2024,BPI5TC,15375
2/12/2024,Q3,Q_4_2024,BPI5TC,15086
2/12/2024,Y0,Y_2024,BPI5TC,14275
2/12/2024,Y1,Y_2025,BPI5TC,13350
2/12/2024,Y2,Y_2026,BPI5TC,12275
2/12/2024,Y3,Y_2027,BPI5TC,12050
2/13/2024,M0,M_Feb_2024,BPI5TC,13200
2/13/2024,M1,M_Mar_2024,BPI5TC,15625
2/13/2024,M2,M_Apr_2024,BPI5TC,16575
2/13/2024,M3,M_May_2024,BPI5TC,16625
2/13/2024,Q0,Q_1_2024,BPI5TC,13500
2/13/2024,Q1,Q_2_2024,BPI5TC,16475
2/13/2024,Q2,Q_3_2024,BPI5TC,15375
2/13/2024,Q3,Q_4_2024,BPI5TC,15096
2/13/2024,Y0,Y_2024,BPI5TC,14275
2/13/2024,Y1,Y_2025,BPI5TC,13350
2/13/2024,Y2,Y_2026,BPI5TC,12275
2/13/2024,Y3,Y_2027,BPI5TC,12043
2/14/2024,M0,M_Feb_2024,BPI5TC,13300
2/14/2024,M1,M_Mar_2024,BPI5TC,15975
2/14/2024,M2,M_Apr_2024,BPI5TC,17125
2/14/2024,M3,M_May_2024,BPI5TC,17150
2/14/2024,Q0,Q_1_2024,BPI5TC,13500
2/14/2024,Q1,Q_2_2024,BPI5TC,16875
2/14/2024,Q2,Q_3_2024,BPI5TC,15700
2/14/2024,Q3,Q_4_2024,BPI5TC,15336
2/14/2024,Y0,Y_2024,BPI5TC,14275
2/14/2024,Y1,Y_2025,BPI5TC,13550
2/14/2024,Y2,Y_2026,BPI5TC,12450
2/14/2024,Y3,Y_2027,BPI5TC,12064
2/15/2024,M0,M_Feb_2024,BPI5TC,13375
2/15/2024,M1,M_Mar_2024,BPI5TC,16125
2/15/2024,M2,M_Apr_2024,BPI5TC,17125
2/15/2024,M3,M_May_2024,BPI5TC,17125
2/15/2024,Q0,Q_1_2024,BPI5TC,13500
2/15/2024,Q1,Q_2_2024,BPI5TC,16775
2/15/2024,Q2,Q_3_2024,BPI5TC,15550
2/15/2024,Q3,Q_4_2024,BPI5TC,15304
2/15/2024,Y0,Y_2024,BPI5TC,14275
2/15/2024,Y1,Y_2025,BPI5TC,13600
2/15/2024,Y2,Y_2026,BPI5TC,12439
2/15/2024,Y3,Y_2027,BPI5TC,12064
2/16/2024,M0,M_Feb_2024,BPI5TC,13375
2/16/2024,M1,M_Mar_2024,BPI5TC,15750
2/16/2024,M2,M_Apr_2024,BPI5TC,16825
2/16/2024,M3,M_May_2024,BPI5TC,16825
2/16/2024,Q0,Q_1_2024,BPI5TC,13500
2/16/2024,Q1,Q_2_2024,BPI5TC,16600
2/16/2024,Q2,Q_3_2024,BPI5TC,15475
2/16/2024,Q3,Q_4_2024,BPI5TC,15243
2/16/2024,Y0,Y_2024,BPI5TC,14275
2/16/2024,Y1,Y_2025,BPI5TC,13400
2/16/2024,Y2,Y_2026,BPI5TC,12393
2/16/2024,Y3,Y_2027,BPI5TC,12079
2/19/2024,M0,M_Feb_2024,BPI5TC,13475
2/19/2024,M1,M_Mar_2024,BPI5TC,15900
2/19/2024,M2,M_Apr_2024,BPI5TC,16900
2/19/2024,M3,M_May_2024,BPI5TC,16900
2/19/2024,Q0,Q_1_2024,BPI5TC,13500
2/19/2024,Q1,Q_2_2024,BPI5TC,16725
2/19/2024,Q2,Q_3_2024,BPI5TC,15750
2/19/2024,Q3,Q_4_2024,BPI5TC,15286
2/19/2024,Y0,Y_2024,BPI5TC,14275
2/19/2024,Y1,Y_2025,BPI5TC,13475
2/19/2024,Y2,Y_2026,BPI5TC,12411
2/19/2024,Y3,Y_2027,BPI5TC,12061
2/20/2024,M0,M_Feb_2024,BPI5TC,13225
2/20/2024,M1,M_Mar_2024,BPI5TC,15425
2/20/2024,M2,M_Apr_2024,BPI5TC,16475
2/20/2024,M3,M_May_2024,BPI5TC,16625
2/20/2024,Q0,Q_1_2024,BPI5TC,13500
2/20/2024,Q1,Q_2_2024,BPI5TC,16400
2/20/2024,Q2,Q_3_2024,BPI5TC,15500
2/20/2024,Q3,Q_4_2024,BPI5TC,15111
2/20/2024,Y0,Y_2024,BPI5TC,14275
2/20/2024,Y1,Y_2025,BPI5TC,13475
2/20/2024,Y2,Y_2026,BPI5TC,12407
2/20/2024,Y3,Y_2027,BPI5TC,12029
2/21/2024,M0,M_Feb_2024,BPI5TC,13125
2/21/2024,M1,M_Mar_2024,BPI5TC,15175
2/21/2024,M2,M_Apr_2024,BPI5TC,16500
2/21/2024,M3,M_May_2024,BPI5TC,16500
2/21/2024,Q0,Q_1_2024,BPI5TC,13500
2/21/2024,Q1,Q_2_2024,BPI5TC,16375
2/21/2024,Q2,Q_3_2024,BPI5TC,15400
2/21/2024,Q3,Q_4_2024,BPI5TC,15129
2/21/2024,Y0,Y_2024,BPI5TC,14275
2/21/2024,Y1,Y_2025,BPI5TC,13550
2/21/2024,Y2,Y_2026,BPI5TC,12414
2/21/2024,Y3,Y_2027,BPI5TC,12014
2/22/2024,M0,M_Feb_2024,BPI5TC,12750
2/22/2024,M1,M_Mar_2024,BPI5TC,14875
2/22/2024,M2,M_Apr_2024,BPI5TC,16500
2/22/2024,M3,M_May_2024,BPI5TC,16575
2/22/2024,Q0,Q_1_2024,BPI5TC,13500
2/22/2024,Q1,Q_2_2024,BPI5TC,16400
2/22/2024,Q2,Q_3_2024,BPI5TC,15600
2/22/2024,Q3,Q_4_2024,BPI5TC,15236
2/22/2024,Y0,Y_2024,BPI5TC,14275
2/22/2024,Y1,Y_2025,BPI5TC,13575
2/22/2024,Y2,Y_2026,BPI5TC,12457
2/22/2024,Y3,Y_2027,BPI5TC,12036
2/23/2024,M0,M_Feb_2024,BPI5TC,12750
2/23/2024,M1,M_Mar_2024,BPI5TC,14875
2/23/2024,M2,M_Apr_2024,BPI5TC,16500
2/23/2024,M3,M_May_2024,BPI5TC,16575
2/23/2024,Q0,Q_1_2024,BPI5TC,13500
2/23/2024,Q1,Q_2_2024,BPI5TC,16925
2/23/2024,Q2,Q_3_2024,BPI5TC,15925
2/23/2024,Q3,Q_4_2024,BPI5TC,15443
2/23/2024,Y0,Y_2024,BPI5TC,14275
2/23/2024,Y1,Y_2025,BPI5TC,13575
2/23/2024,Y2,Y_2026,BPI5TC,12500
2/23/2024,Y3,Y_2027,BPI5TC,12071
2/26/2024,M0,M_Feb_2024,BPI5TC,12700
2/26/2024,M1,M_Mar_2024,BPI5TC,15000
2/26/2024,M2,M_Apr_2024,BPI5TC,16850
2/26/2024,M3,M_May_2024,BPI5TC,16875
2/26/2024,Q0,Q_1_2024,BPI5TC,13500
2/26/2024,Q1,Q_2_2024,BPI5TC,16600
2/26/2024,Q2,Q_3_2024,BPI5TC,15525
2/26/2024,Q3,Q_4_2024,BPI5TC,15254
2/26/2024,Y0,Y_2024,BPI5TC,14275
2/26/2024,Y1,Y_2025,BPI5TC,13525
2/26/2024,Y2,Y_2026,BPI5TC,12411
